season,round,url,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driver,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,zhou,17,20,1,0,18,31,0,5,1347.342,22
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,albon,18,9,3,0,15,3,0,10,1438.608,26
2022,5,http://en.wikipedia.org/wiki/2022_Miami_Grand_Prix,False,False,False,False,False,latifi,19,14,0,0,21,3,0,10,1529.933,26
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,leclerc,1,20,104,2,2,169,2,2,78.75,24
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,max_verstappen,2,1,110,4,1,195,4,1,157.823,24
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,sainz,3,4,65,0,5,169,2,2,236.989,27
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,russell,4,3,74,0,4,120,0,3,316.382,24
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,perez,5,2,85,0,3,195,4,1,395.802,32
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,hamilton,6,5,46,0,6,120,0,3,475.314,37
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,bottas,7,6,38,0,8,39,0,5,554.922,32
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,kevin_magnussen,8,17,15,0,10,15,0,8,634.604,29
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,ricciardo,9,12,11,0,12,50,0,4,714.9010000000001,32
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,mick_schumacher,10,14,0,0,19,15,0,8,795.269,23
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,norris,11,8,39,0,7,50,0,4,875.74,22
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,ocon,12,7,30,0,9,34,0,6,956.378,25
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,tsunoda,13,10,11,0,11,17,0,7,1037.017,22
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,gasly,14,13,6,0,13,17,0,7,1117.878,26
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,zhou,15,19,1,0,18,39,0,5,1198.972,22
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,vettel,16,11,4,0,14,6,0,9,1279.926,34
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,stroll,17,15,2,0,17,6,0,9,1361.344,23
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,albon,18,18,3,0,16,3,0,10,1442.989,26
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,latifi,19,16,0,0,21,3,0,10,1524.904,26
2022,6,http://en.wikipedia.org/wiki/2022_Spanish_Grand_Prix,False,False,False,False,False,alonso,20,9,4,0,15,34,0,6,1605.9470000000001,40
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,leclerc,1,4,116,2,2,199,2,2,71.376,24
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,sainz,2,2,83,0,5,199,2,2,142.977,27
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,perez,3,1,110,1,3,235,5,1,214.606,32
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,max_verstappen,4,3,125,4,1,235,5,1,286.272,24
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,norris,5,6,48,0,7,59,0,4,358.121,22
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,russell,6,5,84,0,4,134,0,3,430.233,24
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,alonso,7,7,10,0,13,40,0,6,502.48,40
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,hamilton,8,8,50,0,6,134,0,3,575.04,37
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,vettel,9,10,5,0,15,7,0,9,647.772,34
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,ocon,10,12,30,0,9,40,0,6,720.819,25
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,tsunoda,11,17,11,0,12,17,0,7,793.616,22
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,bottas,12,9,40,0,8,41,0,5,866.525,32
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,kevin_magnussen,13,20,15,0,10,15,0,8,939.446,29
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,ricciardo,14,13,11,0,11,59,0,4,1012.41,32
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,mick_schumacher,15,19,0,0,19,15,0,8,1085.491,23
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,albon,16,18,3,0,16,3,0,10,1159.102,26
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,gasly,17,11,6,0,14,17,0,7,1232.762,26
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,stroll,18,14,2,0,17,7,0,9,1306.44,23
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,latifi,19,15,0,0,21,3,0,10,1380.843,26
2022,7,http://en.wikipedia.org/wiki/2022_Monaco_Grand_Prix,False,False,False,False,False,zhou,20,16,1,0,18,41,0,5,1456.449,22
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,leclerc,1,19,116,2,3,199,2,2,101.35900000000001,24
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,perez,2,2,129,1,2,279,6,1,203.0,32
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,max_verstappen,3,1,150,5,1,279,6,1,304.706,24
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,sainz,4,20,83,0,5,199,2,2,406.52,27
2022,8,http://en.wikipedia.org/wiki/2022_Azerbaijan_Grand_Prix,False,False,False,False,False,russell,5,3,99,0,4,161,0,3,509.23199999999997,24
