season,round,circuit_id,weather,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
2014,17,americas,not found,0,0,0,0,0
2014,18,interlagos,not found,0,0,0,0,0
2014,19,yas_marina,not found,0,0,0,0,0
2015,1,albert_park,not found,0,0,0,0,0
2015,2,sepang,not found,0,0,0,0,0
2015,3,shanghai,not found,0,0,0,0,0
2015,4,bahrain,not found,0,0,0,0,0
2015,5,catalunya,not found,0,0,0,0,0
2015,6,monaco,not found,0,0,0,0,0
2015,7,villeneuve,not found,0,0,0,0,0
2015,8,red_bull_ring,not found,0,0,0,0,0
2015,9,silverstone,not found,0,0,0,0,0
2015,10,hungaroring,not found,0,0,0,0,0
2015,11,spa,not found,0,0,0,0,0
2015,12,monza,not found,0,0,0,0,0
2015,13,marina_bay,not found,0,0,0,0,0
2015,14,suzuka,not found,0,0,0,0,0
2015,15,sochi,not found,0,0,0,0,0
2015,16,americas,not found,0,0,0,0,0
2015,17,rodriguez,not found,0,0,0,0,0
2015,18,interlagos,not found,0,0,0,0,0
2015,19,yas_marina,not found,0,0,0,0,0
2016,1,albert_park,not found,0,0,0,0,0
2016,2,bahrain,not found,0,0,0,0,0
2016,3,shanghai,not found,0,0,0,0,0
2016,4,sochi,not found,0,0,0,0,0
2016,5,catalunya,not found,0,0,0,0,0
2016,6,monaco,not found,0,0,0,0,0
2016,7,villeneuve,not found,0,0,0,0,0
2016,8,baku,not found,0,0,0,0,0
2016,9,red_bull_ring,not found,0,0,0,0,0
2016,10,silverstone,not found,0,0,0,0,0
2016,11,hungaroring,not found,0,0,0,0,0
2016,12,hockenheimring,not found,0,0,0,0,0
2016,13,spa,not found,0,0,0,0,0
2016,14,monza,not found,0,0,0,0,0
2016,15,marina_bay,not found,0,0,0,0,0
2016,16,sepang,not found,0,0,0,0,0
2016,17,suzuka,not found,0,0,0,0,0
2016,18,americas,not found,0,0,0,0,0
2016,19,rodriguez,not found,0,0,0,0,0
2016,20,interlagos,not found,0,0,0,0,0
2016,21,yas_marina,not found,0,0,0,0,0
2017,1,albert_park,not found,0,0,0,0,0
2017,2,shanghai,not found,0,0,0,0,0
2017,3,bahrain,not found,0,0,0,0,0
2017,4,sochi,not found,0,0,0,0,0
2017,5,catalunya,not found,0,0,0,0,0
2017,6,monaco,not found,0,0,0,0,0
2017,7,villeneuve,not found,0,0,0,0,0
2017,8,baku,not found,0,0,0,0,0
2017,9,red_bull_ring,not found,0,0,0,0,0
2017,10,silverstone,not found,0,0,0,0,0
2017,11,hungaroring,not found,0,0,0,0,0
2017,12,spa,not found,0,0,0,0,0
2017,13,monza,not found,0,0,0,0,0
2017,14,marina_bay,not found,0,0,0,0,0
2017,15,sepang,not found,0,0,0,0,0
2017,16,suzuka,not found,0,0,0,0,0
2017,17,americas,not found,0,0,0,0,0
2017,18,rodriguez,not found,0,0,0,0,0
2017,19,interlagos,not found,0,0,0,0,0
